Proxy address,Proxy type,Uptime
67.212.186.100:80,http,31
67.212.186.99:80,http,29
54.38.220.159:8081,http,100
150.230.104.199:9090,https,100
5.178.245.20:8080,http,25
47.241.245.186:80,http,56
139.59.5.27:443,http,43
206.189.195.74:8080,https,47
67.212.186.101:80,http,34
45.67.201.4:80,http,100
148.251.45.123:3128,https,29
167.172.178.193:40841,http,38
51.91.62.219:80,http,23
146.59.83.187:80,http,37
185.91.116.156:80,http,20
199.58.128.75:8080,http,100
184.67.14.242:80,http,22
195.80.49.237:80,http,100
46.151.105.34:8081,http,40
139.99.237.62:80,http,33
162.0.226.218:80,http,22
5.22.208.41:80,http,61
208.113.134.223:80,http,86
154.236.177.100:1981,http,20
65.1.215.174:8888,http,39
20.110.214.83:80,http,86
62.205.169.74:53281,http,20
52.188.106.163:3128,http,93
195.80.49.235:80,http,84
45.142.106.194:80,http,100
68.183.111.90:80,http,21
67.212.186.102:80,http,37
173.82.100.189:59394,http,43
80.235.9.243:3128,https,24
80.179.140.189:80,http,65
188.235.0.207:8282,http,25
43.255.113.232:8081,http,37
146.190.231.87:3129,http,73
85.70.210.30:80,http,30
76.164.52.98:80,http,33
38.108.119.176:59394,http,40
157.100.26.69:80,http,44
46.188.53.7:8007,http,33
200.110.173.118:8080,http,76
5.167.141.239:3128,http,22
43.154.161.208:59394,http,50
203.117.159.58:59394,http,33
185.51.10.19:80,http,30
201.217.49.2:80,http,27
45.142.106.193:80,http,100
194.67.91.153:80,http,21
74.208.177.198:80,http,27
13.95.107.107:80,https,57
45.58.168.19:59394,http,50
91.98.102.101:8080,http,25
103.155.217.105:41410,http,100
181.113.135.254:52058,http,29
200.105.215.18:33630,http,34
80.252.5.34:7001,http,20
103.149.162.194:80,http,83
143.244.132.11:80,http,22
8.210.66.212:3128,http,71
216.238.72.163:59394,http,75
138.68.238.19:31028,http,21
121.139.218.165:31409,http,20
195.211.180.156:3128,http,29
176.108.47.38:3128,http,29
104.248.203.46:3129,http,74
43.255.113.232:8083,http,29
154.13.5.42:59394,http,31
45.9.231.150:3128,http,24
43.255.113.232:8082,http,30
217.30.173.108:8080,http,26
124.41.240.96:55443,http,21
172.99.249.209:80,http,33
167.235.63.238:3128,http,32
3.9.8.181:80,http,25
143.198.182.218:80,http,26
138.197.102.119:80,http,31
5.183.102.169:80,http,69
176.101.89.226:33470,http,24
51.159.24.255:3128,http,45
194.186.81.186:8181,http,23
200.32.51.179:8080,http,20
91.234.127.222:53281,http,20
194.233.77.110:11,http,20
85.234.126.107:55555,http,23
81.252.38.12:8080,http,24
92.249.122.108:61778,http,25
43.255.113.232:82,http,34
154.236.177.101:1981,http,21
31.220.183.217:53281,http,24
43.255.113.232:86,http,34
43.255.113.232:84,http,23
50.233.42.98:51696,http,24
189.164.118.26:3128,http,20
103.219.194.12:80,http,64
169.62.126.170:8081,http,22
103.86.187.242:23500,http,24
103.219.194.11:80,http,28
192.162.193.243:36910,http,24
93.91.112.247:41258,http,21
51.159.24.172:3167,http,27
212.126.107.2:31475,http,25
197.248.184.158:53281,http,20
43.255.113.232:85,http,32
5.187.2.223:8282,http,30
91.224.58.55:3128,http,26
200.110.168.159:8080,https,47
51.91.109.83:80,http,22
201.217.245.229:49160,http,24