,Proxy address,Proxy type,Uptime
0,178.32.101.200:80,http,16
1,178.47.141.85:2580,http,16
2,200.116.198.222:9812,http,10
3,43.250.107.91:80,http,76
4,5.167.141.239:3128,https,22
5,45.144.219.165:8080,http,11
6,89.107.197.165:3128,https,20
7,181.36.121.222:999,http,10
8,102.45.15.176:8080,http,38
9,185.72.27.98:8080,http,10
10,13.95.107.107:80,https,71
11,85.133.130.18:8080,http,12
12,181.205.116.218:9812,http,10
13,41.33.219.141:8080,http,22
14,217.30.173.108:8080,http,28
15,136.175.177.213:80,http,100
16,113.252.44.63:8383,http,14
17,34.136.99.66:3128,https,17
18,23.238.33.186:80,http,12
19,24.172.34.114:49920,http,15
20,80.179.140.189:80,http,64
21,148.251.45.123:3128,https,40
22,84.214.150.146:8080,http,23
23,68.183.185.62:80,http,19
24,162.144.236.128:80,http,5
25,5.9.211.101:8080,https,18
26,103.86.187.242:23500,http,25
27,188.235.0.207:8282,http,38
28,197.243.14.90:8888,http,85
29,102.68.128.217:8080,http,21
30,157.100.26.69:80,http,45
31,23.226.117.66:8080,http,0
32,85.173.165.36:46330,http,19
33,80.252.5.34:7001,http,20
34,41.193.84.196:3128,http,18
35,208.113.134.223:80,http,85
36,45.9.231.150:3128,http,40
37,81.221.18.188:80,http,0
38,62.205.169.74:53281,https,20
39,192.154.192.193:8000,http,50
40,20.110.214.83:80,http,92
41,67.212.186.101:80,http,33
42,5.183.102.169:80,http,82
43,192.162.193.243:36910,http,25
44,64.138.255.146:80,https,10
45,91.108.140.44:8080,http,33
46,115.241.153.228:80,http,100
47,143.244.132.11:80,http,24
48,52.188.106.163:3128,http,97
49,176.53.197.226:3128,http,10
50,174.108.220.122:8080,http,27
51,103.68.62.11:80,http,18
52,195.133.47.190:3128,http,13
53,195.80.49.235:80,http,100
54,152.26.193.40:10180,http,50
55,43.255.113.232:86,http,33
56,88.250.210.100:38271,http,19
57,125.99.58.110:3128,http,17
58,167.235.63.238:3128,https,37
59,78.30.230.117:50932,http,16
60,181.143.106.162:52151,http,15
61,34.142.54.216:80,http,8
62,95.165.163.188:60103,http,17
63,51.103.137.65:80,http,17
64,34.140.87.13:80,http,3
65,158.101.98.253:3128,https,17
66,13.51.69.207:80,http,17
67,103.105.212.106:53281,http,17
68,110.74.208.153:21776,http,10
69,94.23.91.209:80,http,11
70,209.166.175.201:3128,http,78
71,103.152.112.131:80,http,100
72,144.91.123.26:80,http,14
73,20.57.152.130:80,http,20
74,152.228.163.151:80,http,13
75,182.52.103.214:9898,http,29
76,67.212.186.102:80,http,34
77,171.97.54.29:55443,http,29
78,103.141.52.218:8000,http,12
79,103.1.93.184:55443,http,17
80,201.217.49.2:80,http,27
81,51.195.81.233:8080,http,8
82,154.12.243.75:80,http,8
83,38.108.119.176:59394,http,42
84,43.255.113.232:8082,http,30
85,31.169.50.141:80,http,12
86,45.67.201.4:80,http,100
87,169.62.126.170:8081,http,35
88,1.224.3.122:3888,http,16
89,203.154.71.139:80,http,7
90,43.228.125.189:8080,http,14
91,35.204.136.129:80,http,25
92,87.231.108.158:80,http,23
93,72.167.53.249:80,http,5
94,3.9.8.181:80,http,29
95,190.131.250.105:999,http,19
96,81.132.20.80:80,http,11
97,192.236.160.186:80,http,13
98,91.193.253.188:23500,http,16
99,92.207.253.226:38157,http,13
100,85.158.75.102:53281,http,13
101,134.209.241.12:80,http,8
102,138.2.152.0:3128,http,25
103,185.91.116.156:80,http,23
104,185.51.10.19:80,http,30
105,100.19.135.109:80,http,11
106,143.198.182.218:80,http,42
107,162.144.116.103:80,http,8
108,51.178.138.128:80,http,9
109,91.121.88.53:80,http,62
110,134.122.58.174:80,http,23
111,212.114.31.231:8080,http,9
112,176.223.143.230:80,http,16
113,3.144.107.123:80,http,11
114,134.209.28.98:3128,http,6
115,150.136.172.57:3128,http,11
116,140.227.61.156:23456,http,8
117,46.105.35.193:8080,http,7
118,51.178.195.49:8080,http,6
119,153.126.205.18:80,http,4
120,138.68.172.40:5566,http,2
121,51.159.24.172:3167,http,28
122,162.215.22.165:59394,http,50
123,34.90.183.128:80,http,4
124,79.142.95.90:55443,http,21
125,176.9.220.108:8080,http,10
126,89.234.182.234:80,http,13
127,212.46.230.102:6969,http,17
128,133.242.146.103:8000,http,8
129,200.114.65.15:999,http,11
130,14.177.236.212:55443,http,20
131,178.62.92.133:80,http,4
132,91.134.136.29:9000,http,5
133,89.179.102.178:8000,http,20
134,85.133.232.42:8080,http,4
135,67.212.186.100:80,http,28
136,195.80.49.237:80,http,0
137,200.105.215.18:33630,http,34
138,195.80.49.232:80,http,100
139,2.179.193.146:80,https,7
140,212.200.44.246:9812,http,12
141,186.47.75.174:9812,http,9
142,193.117.138.126:44805,http,12
143,185.65.253.161:8081,http,16
144,91.224.58.55:3128,http,36
145,45.174.77.113:9898,http,18
146,176.101.89.226:33470,http,24
147,220.116.226.105:80,http,13
148,134.122.24.227:8081,http,18
149,93.63.78.7:3128,http,38
150,162.144.233.16:80,http,9
151,181.113.135.254:52058,http,29
152,5.22.208.41:80,http,63
153,51.91.62.219:80,http,24
154,47.241.245.186:80,http,52
155,61.19.109.236:8080,http,3
156,167.172.104.11:40269,http,8
157,173.82.84.175:59394,http,8
158,80.85.86.247:1235,http,15
159,154.13.5.42:59394,http,50
160,198.211.28.9:59394,http,29
161,146.59.83.187:80,http,38
162,136.243.9.13:45679,http,4
163,102.134.98.222:8081,http,7
164,150.136.173.137:3128,http,14
165,128.199.108.87:8080,http,15
166,96.45.164.120:59394,http,17
167,190.61.84.166:9812,http,7
168,186.154.147.166:9812,http,10
169,195.80.49.231:80,http,82
170,198.211.28.22:59394,http,50
171,64.225.8.192:80,http,8
172,173.82.84.167:59394,http,17
173,51.91.109.83:80,http,24
174,66.196.238.180:3128,http,13
175,162.0.226.218:80,http,25
176,200.110.168.159:8080,http,58
177,36.95.116.9:9812,http,25
178,1.20.217.52:8080,http,15
179,24.106.221.230:53281,http,13
180,113.252.44.63:80,http,3
181,103.14.234.238:8080,http,13
182,190.216.234.242:8080,http,10
183,5.53.16.185:18080,http,13
184,158.101.142.112:3128,http,11
185,195.211.180.156:3128,http,32
186,154.236.189.27:8080,http,28
187,183.88.132.129:8080,http,9
188,185.255.47.59:9812,http,17
189,103.152.100.187:8080,http,18
190,188.187.60.185:50000,http,8
191,61.19.42.140:80,http,13
192,185.42.241.168:8080,https,14
193,91.204.154.238:8080,http,12
194,129.150.52.76:80,http,13
195,162.19.49.131:80,http,14
196,88.147.252.219:8080,http,17
197,188.166.165.240:80,http,6
198,146.56.105.86:80,http,13
199,50.16.33.219:8080,http,8
200,103.227.117.136:9812,http,7
201,93.188.161.84:80,http,9
202,181.192.2.120:53281,https,8
203,193.31.27.123:80,http,16
204,8.210.223.21:80,http,4
205,35.88.27.49:80,http,8
206,93.224.107.117:8080,http,6
207,45.173.44.1:999,http,4
208,213.6.66.66:48687,http,18
209,77.50.104.110:3128,http,16
210,213.6.227.38:45730,http,16
211,136.233.136.41:48976,http,11
212,154.236.184.70:1976,http,13
213,190.128.238.142:8082,http,28
214,50.18.70.79:80,http,8
215,138.197.102.119:80,http,32
216,176.58.120.68:443,http,5
217,91.150.189.122:30389,http,14
218,103.250.157.50:6666,http,4
219,45.32.101.24:80,http,11
220,203.189.137.180:9812,http,7
221,103.250.156.24:6666,http,15
222,45.201.190.125:9898,http,22
223,185.208.172.196:8080,https,10
224,167.172.172.234:32821,http,11
225,18.170.22.115:80,http,8
226,116.80.41.12:80,http,7
227,18.134.249.71:80,http,6
228,80.13.0.226:80,http,8
229,190.53.46.11:38525,http,7
230,208.109.191.184:80,http,9
231,102.223.49.74:8080,http,8
232,154.30.184.163:3129,http,13
233,121.58.194.195:80,http,19
234,97.87.248.14:80,http,16
235,103.81.13.129:60714,http,6
236,176.31.241.39:3128,http,8
237,80.85.86.240:1235,https,13
238,77.233.5.68:55443,http,18
239,46.101.126.180:35133,http,13
240,172.105.113.133:80,http,7
241,220.85.140.170:80,http,17
242,173.82.45.238:59394,http,13
243,3.80.78.222:80,http,8
244,168.119.170.87:33055,http,20
245,193.140.143.67:80,http,9
246,74.205.128.200:80,http,16
247,97.74.92.60:80,http,12
248,195.145.8.10:80,http,19
249,67.212.186.99:80,http,30
250,88.99.162.33:5566,http,10
251,102.68.128.212:8080,https,10
252,170.178.214.106:59394,http,15
253,91.106.64.209:9812,https,8
254,154.30.184.101:3129,http,17
255,206.81.0.107:80,http,6
256,195.158.30.232:3128,http,39
257,190.189.188.174:8080,http,7
258,12.69.91.227:80,http,13
259,65.18.114.254:55443,http,17
260,62.183.81.38:8080,http,15
261,43.129.223.147:38080,http,3
262,154.13.5.41:59394,http,19
263,45.173.44.10:999,http,13
264,45.229.33.102:999,http,9
265,129.226.41.41:8080,http,7
266,95.0.206.53:8080,http,10
267,216.24.251.243:59394,http,14
268,121.139.218.165:31409,http,20
269,140.83.32.175:80,http,8
270,40.122.215.129:80,http,11
271,161.97.92.160:80,http,14
272,170.178.214.108:59394,http,20
273,118.172.187.127:8080,http,12
274,162.215.22.199:59394,http,33
275,82.165.21.59:80,http,7
276,95.165.187.202:45396,https,21
277,119.93.129.34:80,http,14
278,213.230.107.235:8080,http,14
279,218.39.136.163:8000,http,13
280,122.99.125.85:80,http,12
281,168.119.170.87:33248,http,6
282,184.155.36.194:8080,http,14
283,41.222.209.9:808,https,43
284,50.250.56.129:46456,http,14
285,158.101.98.145:3128,http,8
286,146.59.199.12:80,http,19
287,190.145.200.126:53281,http,16
288,103.140.142.65:9812,http,9
289,178.124.189.174:3128,http,9
290,107.167.6.103:59394,http,20
291,89.250.221.106:53281,http,19
292,104.211.157.219:80,http,11
293,107.167.6.106:59394,http,33
294,108.187.44.120:3129,http,33
295,109.110.72.151:8080,https,16
296,82.165.184.53:80,http,14
297,190.60.71.124:80,http,12
298,68.183.143.134:80,http,5
299,43.255.113.232:8080,http,40
300,198.211.28.17:59394,http,17
301,178.151.205.154:45099,http,12
302,197.243.20.186:80,http,10
303,196.1.95.117:80,http,20
304,206.189.136.47:80,http,15
305,115.241.197.126:80,http,9
306,204.16.1.169:82,http,13
307,95.142.223.24:56379,http,10
308,200.125.223.142:9812,http,11
309,157.90.205.166:8080,http,6
310,80.235.9.243:3128,http,27
311,216.48.177.127:80,http,20
312,210.14.104.230:8080,http,16
313,104.131.121.7:80,http,6
314,182.72.203.255:80,http,17
315,82.223.102.92:9443,http,11
316,41.77.129.154:53281,http,15
317,164.92.215.166:8080,http,66
318,37.112.209.138:55443,http,7
319,178.22.199.156:53281,http,12
320,95.182.121.163:8080,http,9
321,144.76.254.18:8080,http,8
322,85.70.210.30:80,http,39
323,134.209.189.42:80,http,6
324,15.207.236.146:80,http,22
325,207.180.224.75:80,http,9
326,62.92.133.204:81,http,31
327,154.236.177.100:1981,http,20
328,176.58.112.227:80,http,2
329,121.152.180.171:8000,http,10
330,109.238.222.5:40387,http,18
331,133.125.54.107:80,http,3
332,146.196.123.211:9812,http,17
333,61.78.63.200:30000,http,8
334,41.60.238.179:8080,http,7
335,198.211.52.227:59394,http,19
336,195.135.242.141:8081,http,28
337,212.73.74.182:33333,https,12
338,43.255.113.232:82,http,35
339,196.1.97.209:80,http,19
340,177.93.38.238:8080,http,11
341,45.77.233.110:80,http,7
342,72.47.152.224:55443,http,15
343,85.14.112.37:8090,http,4
344,178.66.182.76:3128,http,19
345,108.187.44.171:3129,http,10
346,43.224.10.26:6666,http,5
347,165.0.50.110:8080,http,18
348,45.32.245.26:80,http,50
349,74.208.177.198:80,http,27
350,43.255.113.232:8081,http,36
351,46.188.53.7:8004,https,7
352,61.216.156.222:60808,http,11
353,110.74.195.34:25,http,18
354,213.32.58.10:8081,http,18
355,45.77.127.180:80,http,5
356,213.97.45.73:8083,http,16
357,142.132.140.218:8084,http,8
358,203.188.32.107:9812,http,12
359,161.35.161.38:80,http,7
360,78.84.95.187:53281,http,12
361,51.75.252.54:80,http,15
362,162.215.22.126:59394,http,14
363,46.101.49.62:80,http,5
364,5.161.73.187:8181,https,10
365,41.60.237.65:34098,http,19
366,37.187.114.131:80,http,11
367,70.184.195.197:80,http,38
368,151.106.18.124:1080,http,50
369,118.70.12.171:53281,http,20
370,66.196.238.179:3128,http,22
371,212.19.7.246:3128,https,10
372,107.167.6.113:59394,http,13
373,177.104.127.122:3130,http,33
374,191.97.36.200:23500,https,13
375,103.179.252.14:8181,http,50
376,136.226.33.104:80,https,25
377,83.220.47.146:8080,http,12
378,51.83.98.90:80,http,9
379,136.226.33.108:80,https,50
380,70.184.195.198:80,http,48
381,66.196.238.178:3128,http,24
382,45.131.251.246:3129,http,8
383,216.74.246.194:3129,https,8
384,167.99.124.118:80,http,12
385,46.101.160.223:80,http,5
386,41.164.68.194:8080,http,21
387,136.226.33.107:80,https,100
388,140.227.127.228:80,http,5
389,180.94.69.66:8080,http,7
390,87.103.175.250:9812,https,16
391,222.252.156.61:62694,http,17
392,129.213.123.186:3128,http,3
393,154.236.189.30:8080,http,14
394,50.233.42.98:51696,http,24
395,204.188.206.96:59394,http,14
396,159.223.100.21:80,http,25
397,136.226.32.235:80,https,50
398,159.223.100.21:8080,http,57
399,140.227.25.56:5678,http,8
400,213.230.109.201:1500,http,53
401,143.110.151.242:3128,http,13
402,190.196.176.5:60080,http,12
403,104.248.90.212:80,http,14
404,154.30.185.39:3129,http,25
405,144.217.75.65:8800,http,3
406,136.226.32.243:80,https,25
407,3.136.154.123:80,http,17
408,89.189.181.161:55855,http,15
409,94.232.11.178:46449,http,14
410,162.215.22.132:59394,http,43
411,27.116.41.156:9898,http,15
412,154.236.184.80:1981,http,23
413,190.217.14.18:999,http,19
414,181.129.43.3:8080,http,16
415,34.141.231.120:80,http,13
416,112.78.3.77:80,http,7
417,197.248.184.158:53281,http,22
418,118.185.38.153:35101,http,19
419,91.106.64.94:9812,https,9
420,160.202.76.183:59394,http,11
421,197.232.65.40:55443,http,14
422,103.73.102.174:60080,http,13
423,201.238.248.134:443,http,20
424,185.105.29.107:80,http,14
425,160.202.125.211:59394,http,24
426,117.198.97.220:80,http,19
427,213.230.108.104:1500,http,54
428,38.108.119.43:59394,http,53
429,154.30.184.48:3129,http,13
430,160.202.100.123:59394,http,21
431,162.241.207.217:80,http,8
432,117.1.134.89:6666,http,16
433,3.226.168.144:80,http,11
434,80.191.162.2:514,http,10
435,92.118.92.107:8181,http,14
436,34.75.123.131:80,http,26
437,190.119.211.42:9812,http,5
438,43.255.113.232:84,http,22
439,136.226.32.237:80,https,50
440,104.160.190.96:59394,http,13
441,94.73.239.124:55443,http,15
442,170.178.164.104:59394,http,12
443,45.32.188.216:80,http,14
444,182.72.203.253:80,http,11
445,167.71.190.253:80,http,15
446,202.44.208.178:8080,https,10
447,50.112.212.20:80,http,6
448,125.228.43.81:8080,http,8
449,168.62.60.192:80,http,13
450,104.225.220.233:80,http,10
451,62.182.94.173:9812,http,13
452,198.211.28.30:59394,http,17
453,82.79.213.118:9812,http,12
454,211.250.133.182:8001,http,15
455,209.141.57.235:3128,http,11
456,154.30.185.122:3129,http,11
457,108.187.44.192:3129,http,33
458,185.44.232.30:53281,http,13
459,94.101.140.131:9999,http,3
460,168.119.53.93:80,http,11
461,102.217.78.239:9812,http,14
462,176.56.107.239:52210,http,10
463,149.54.11.76:80,http,3
464,50.231.95.3:8080,http,9
465,45.131.251.233:3129,http,50
466,164.132.170.100:80,http,14
467,94.102.192.204:1500,http,13
468,196.20.21.82:8080,http,12
469,162.215.22.229:59394,http,17
470,185.237.10.185:9812,http,11
471,116.202.177.193:8686,https,13
472,160.202.92.100:59394,http,20
473,213.32.75.44:5566,http,7
474,108.187.44.47:3129,http,25
475,190.112.137.81:8085,http,11
476,31.3.15.82:3128,http,25
477,181.49.100.190:8080,http,16
478,179.51.162.8:9812,http,11
479,103.130.141.98:8080,http,18
480,160.202.76.184:59394,http,17
481,181.176.221.151:9812,http,7
482,181.212.59.187:9812,http,8
483,181.205.106.106:9812,http,9
484,125.209.116.78:8080,https,20
485,37.237.205.30:9812,http,9
486,160.16.142.244:3128,https,25
487,189.164.118.26:3128,http,20
488,154.31.224.17:80,http,64
489,104.45.128.122:80,http,17
490,105.19.63.217:9812,http,11
491,81.91.144.190:55443,http,15
492,34.87.84.105:80,http,12
493,113.252.54.73:80,http,3
494,81.174.11.159:61743,http,12
495,162.243.174.235:80,http,7
496,34.206.77.75:80,http,11
497,174.46.141.153:8080,http,6
498,154.236.184.70:1981,http,18
499,122.102.118.83:8080,http,8
